"filename", "language", "JavaScript", "JSON", "Docker", "Ignore", "TypeScript", "Markdown", "JSON with Comments", "YAML", "TypeScript JSX", "PostCSS", "Properties", "HTML", "comment", "blank", "total"
"d:\Work\React\steelworks-react-ui\.dockerignore", "Ignore", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\Work\React\steelworks-react-ui\Dockerfile", "Docker", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 23
"d:\Work\React\steelworks-react-ui\README.md", "Markdown", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 14
"d:\Work\React\steelworks-react-ui\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"d:\Work\React\steelworks-react-ui\eslint.config.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"d:\Work\React\steelworks-react-ui\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"d:\Work\React\steelworks-react-ui\nginx.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 2, 5, 27
"d:\Work\React\steelworks-react-ui\package-lock.json", "JSON", 0, 9345, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9346
"d:\Work\React\steelworks-react-ui\package.json", "JSON", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 85
"d:\Work\React\steelworks-react-ui\prettier.config.cjs", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 30
"d:\Work\React\steelworks-react-ui\scripts\relative-to-absolute.mjs", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21, 104
"d:\Work\React\steelworks-react-ui\src\app\providers\auth-provider\AuthContext.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 5, 23
"d:\Work\React\steelworks-react-ui\src\app\providers\auth\model.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 4, 21
"d:\Work\React\steelworks-react-ui\src\app\providers\auth\ui.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 13, 24, 149
"d:\Work\React\steelworks-react-ui\src\app\routes\AppRoutes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 2, 6, 55
"d:\Work\React\steelworks-react-ui\src\app\routes\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 7, 31
"d:\Work\React\steelworks-react-ui\src\app\routes\UnAuthRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 3, 20
"d:\Work\React\steelworks-react-ui\src\app\routes\paths.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Work\React\steelworks-react-ui\src\app\routes\routes.ts", "TypeScript", 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 4, 91
"d:\Work\React\steelworks-react-ui\src\app\routes\utils.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 14, 6, 43
"d:\Work\React\steelworks-react-ui\src\app\styles\datepicker-override.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 25, 30, 149
"d:\Work\React\steelworks-react-ui\src\entities\admin\address\forms\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 3, 13, 123
"d:\Work\React\steelworks-react-ui\src\entities\admin\address\forms\schema.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Work\React\steelworks-react-ui\src\entities\admin\address\services\keys.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Work\React\steelworks-react-ui\src\entities\admin\address\types\address.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Work\React\steelworks-react-ui\src\entities\admin\address\types\base.model.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Work\React\steelworks-react-ui\src\entities\admin\address\types\request.dto.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\Work\React\steelworks-react-ui\src\entities\admin\address\types\response.dto.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Work\React\steelworks-react-ui\src\entities\admin\city\forms\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 3, 12, 112
"d:\Work\React\steelworks-react-ui\src\entities\admin\city\forms\schema.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Work\React\steelworks-react-ui\src\entities\admin\city\mocks\mock.ts", "TypeScript", 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 2, 135
"d:\Work\React\steelworks-react-ui\src\entities\admin\city\routes.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48
"d:\Work\React\steelworks-react-ui\src\entities\admin\city\services\keys.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Work\React\steelworks-react-ui\src\entities\admin\city\services\service.mock.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"d:\Work\React\steelworks-react-ui\src\entities\admin\city\services\service.ts", "TypeScript", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 2, 6, 59
"d:\Work\React\steelworks-react-ui\src\entities\admin\city\types\base.model.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Work\React\steelworks-react-ui\src\entities\admin\city\types\request.dto.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\Work\React\steelworks-react-ui\src\entities\admin\city\types\response.dto.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"d:\Work\React\steelworks-react-ui\src\entities\admin\contact\forms\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 8, 71
"d:\Work\React\steelworks-react-ui\src\entities\admin\contact\forms\schema.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Work\React\steelworks-react-ui\src\entities\admin\contact\types\base.model.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Work\React\steelworks-react-ui\src\entities\admin\contact\types\contact.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Work\React\steelworks-react-ui\src\entities\admin\contact\types\request.dto.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\Work\React\steelworks-react-ui\src\entities\admin\contact\types\response.dto.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Work\React\steelworks-react-ui\src\entities\admin\country\forms\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 11, 82
"d:\Work\React\steelworks-react-ui\src\entities\admin\country\forms\schema.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Work\React\steelworks-react-ui\src\entities\admin\country\mocks\mock.ts", "TypeScript", 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 2, 145
"d:\Work\React\steelworks-react-ui\src\entities\admin\country\routes.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48
"d:\Work\React\steelworks-react-ui\src\entities\admin\country\services\keys.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Work\React\steelworks-react-ui\src\entities\admin\country\services\service.mock.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"d:\Work\React\steelworks-react-ui\src\entities\admin\country\services\service.ts", "TypeScript", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 6, 62
"d:\Work\React\steelworks-react-ui\src\entities\admin\country\types\base.model.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Work\React\steelworks-react-ui\src\entities\admin\country\types\request.dto.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"d:\Work\React\steelworks-react-ui\src\entities\admin\country\types\response.dto.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"d:\Work\React\steelworks-react-ui\src\entities\admin\departments\forms\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 8, 67
"d:\Work\React\steelworks-react-ui\src\entities\admin\departments\forms\schema.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Work\React\steelworks-react-ui\src\entities\admin\departments\mocks\mock.ts", "TypeScript", 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 2, 135
"d:\Work\React\steelworks-react-ui\src\entities\admin\departments\routes.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48
"d:\Work\React\steelworks-react-ui\src\entities\admin\departments\services\keys.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Work\React\steelworks-react-ui\src\entities\admin\departments\services\service.mock.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"d:\Work\React\steelworks-react-ui\src\entities\admin\departments\services\service.ts", "TypeScript", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 6, 62
"d:\Work\React\steelworks-react-ui\src\entities\admin\departments\types\base.model.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Work\React\steelworks-react-ui\src\entities\admin\departments\types\request.dto.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"d:\Work\React\steelworks-react-ui\src\entities\admin\departments\types\response.dto.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"d:\Work\React\steelworks-react-ui\src\entities\admin\employeeProfile\forms\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 7, 76
"d:\Work\React\steelworks-react-ui\src\entities\admin\employeeProfile\forms\schema.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Work\React\steelworks-react-ui\src\entities\admin\employeeProfile\types\base.model.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Work\React\steelworks-react-ui\src\entities\admin\employeeProfile\types\employmentStatus.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\Work\React\steelworks-react-ui\src\entities\admin\employeeProfile\types\request.dto.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"d:\Work\React\steelworks-react-ui\src\entities\admin\employeeProfile\types\response.dto.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\Work\React\steelworks-react-ui\src\entities\admin\organizations\forms\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 6, 15, 147
"d:\Work\React\steelworks-react-ui\src\entities\admin\organizations\forms\schema.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\Work\React\steelworks-react-ui\src\entities\admin\organizations\mocks\mock.ts", "TypeScript", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 6, 75
"d:\Work\React\steelworks-react-ui\src\entities\admin\organizations\routes.ts", "TypeScript", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 3, 54
"d:\Work\React\steelworks-react-ui\src\entities\admin\organizations\services\keys.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Work\React\steelworks-react-ui\src\entities\admin\organizations\services\service.mock.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
"d:\Work\React\steelworks-react-ui\src\entities\admin\organizations\services\service.ts", "TypeScript", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 6, 62
"d:\Work\React\steelworks-react-ui\src\entities\admin\organizations\types\base.model.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Work\React\steelworks-react-ui\src\entities\admin\organizations\types\request.dto.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"d:\Work\React\steelworks-react-ui\src\entities\admin\organizations\types\response.dto.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"d:\Work\React\steelworks-react-ui\src\entities\admin\people\forms\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 217, 0, 0, 0, 6, 22, 245
"d:\Work\React\steelworks-react-ui\src\entities\admin\people\forms\schema.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"d:\Work\React\steelworks-react-ui\src\entities\admin\people\mocks\mock.ts", "TypeScript", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 9, 85
"d:\Work\React\steelworks-react-ui\src\entities\admin\people\routes.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48
"d:\Work\React\steelworks-react-ui\src\entities\admin\people\services\keys.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Work\React\steelworks-react-ui\src\entities\admin\people\services\service.mock.ts", "TypeScript", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 7, 59
"d:\Work\React\steelworks-react-ui\src\entities\admin\people\services\service.ts", "TypeScript", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 6, 62
"d:\Work\React\steelworks-react-ui\src\entities\admin\people\types\base.model.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Work\React\steelworks-react-ui\src\entities\admin\people\types\gender.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
